"VehicleId","StopCount","TotalDuration","AverageDuration","MaxDuration","MinDuration"
"5","77","178920.7","2323.65","3585.52","0.52"
"3","44","1476.45","33.56","135.72","0.52"
"6","33","661.8","20.05","95.75","0.52"
"10","51","978.32","19.18","75.83","0.52"
"11","41","1208.83","29.48","115.57","0.52"
"4","65","10643.3","163.74","475.52","0.52"
"1","36","654.27","18.17","75.83","0.52"
"7","49","1111.63","22.69","95.52","0.52"
"8","37","2159.68","58.37","185.85","0.57"
"12","55","935.83","17.02","85.63","0.52"
"9","56","1296.92","23.16","125.6","0.52"
"2","53","1628.88","30.73","155.53","0.52"
"13","38","765.27","20.14","95.67","0.52"
